title,director,country,release_year,rating,duration,listed_in,description
Game Over (Tamil Version),Ashwin Saravanan,"India, Turkey",2019,7,98 min,"Horror Movies, International Movies, Thrillers","As a series of murders hit close to home, a video game designer with post-traumatic stress must confront her demons, or risk becoming their victim."
Kickboxer: Retaliation,Dimitri Logothetis,United States,2017,9,110 min,Action & Adventure,"Sloan's vow to never return to Thailand is cut short when he's kidnapped and taken to a Thai prison, where he's forced to fight a 400-pound brute."
Little Miss Sumo,Matt Kay,United Kingdom,2018,7,20 min,"Documentaries, International Movies, Sports Movies","In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japan’s national pastime."
The American Meme,Bert Marcus,United States,2018,7,98 min,Documentaries,"Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires – and face the pitfalls of fame."
Death Note,Adam Wingard,United States,2017,,100 min,"Horror Movies, Thrillers","Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class."
Babel,Alejandro G. Iñárritu,"France, United States, Mexico",2006,,143 min,"Dramas, Independent Movies","When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries."
SDU: Sex Duties Unit,Gary Mak,Hong Kong,2013,,96 min,"Comedies, International Movies",Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.
W/O Ram,Vijay Yelakanti,India,2018,5,115 min,"Dramas, International Movies, Thrillers","Frustrated with the stalled investigation into her husband's murder, a woman searches for the killer on her own, putting herself in grave danger."
Love for Sale,Andibachtiar Yusuf,Indonesia,2018,,101 min,"Dramas, International Movies, Romantic Movies","Richard accepts a bet that he can't find a companion to a friend's wedding, not knowing the dating app he's using includes a 45-day contract."
Justin Timberlake + the Tennessee Kids,Jonathan Demme,United States,2016,6,90 min,Music & Musicals,"On the final nights of a world tour, director Jonathan Demme captures what makes the show soar: gifted musicians, deft dancers and a magnetic star."
Painted Faces,Alex Law,Hong Kong,1988,,108 min,"Dramas, International Movies","In this dramatized rendition, students undergo rigorous study at Master Yu's Peking Opera school, a cradle for future Hong Kong film stars."
The Cloverfield Paradox,Julius Onah,United States,2018,7,102 min,"Action & Adventure, Sci-Fi & Fantasy","Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality."
Monty Python: Before the Flying Circus,Will Yapp,United Kingdom,2000,7,56 min,"Comedies, Documentaries","Discover how six seemingly ordinary but supremely talented men became Monty Python, sketch comedy's revolutionary comedy troupe."
Bright,David Ayer,United States,2017,7,118 min,"Action & Adventure, Sci-Fi & Fantasy","In an LA rife with interspecies tensions, a human cop and his orc partner stumble on a powerful object and become embroiled in a prophesied turf war."
Ricky Gervais: Humanity,John L. Spencer,United Kingdom,2018,,79 min,Stand-Up Comedy,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally."
